CODI_UA,"Coordenades
(longitud, latitud)",Cantidad,Tipo
65,"2.191680, 41.412761",1,RC:Injectat
65,"2.190357, 41.408809",1,Xeringues
65,"2.190357, 41.408809",2,RC:Injectat
68,"2.207457, 41.397040",1,Xeringues
65,"2.190357, 41.408809",7,Xeringues
65,"2.190357, 41.408809",7,RC:Injectat
71,"2.206591, 41.41262",1,RC:Injectat
71,"2.20878, 41.41517",13,Xeringues
71,"2.20878, 41.41517",39,RC:Injectat
65,"2.190357, 41.408809",2,Xeringues
71,"2.20878, 41.41517",22,Xeringues
71,"2.20878, 41.41517",22,RC:Injectat
